,yardline_100,down,goal_to_go,yards_gained,play_type,success,epa,n_defense_box,n_blitzers
724,74.0,1.0,0,0.0,run,0.0,-0.61500144,6,0
726,57.0,1.0,0,2.0,run,0.0,-0.47386715,5,0
727,55.0,2.0,0,7.0,run,1.0,0.6577214,6,0
728,48.0,3.0,0,2.0,run,1.0,0.56737703,6,1
730,46.0,2.0,0,3.0,run,0.0,-0.70757467,5,0
732,35.0,1.0,0,5.0,run,1.0,0.16677907,7,0
733,30.0,2.0,0,-2.0,run,0.0,-0.96875346,6,0
737,73.0,2.0,0,3.0,run,0.0,-0.3661819,5,0
743,39.0,1.0,0,17.0,run,1.0,1.2337244,5,0
744,22.0,1.0,0,9.0,run,1.0,0.8002302,6,0
745,13.0,2.0,0,4.0,run,0.0,-0.14665024,6,0
746,9.0,1.0,1,-2.0,run,0.0,-0.87638664,5,0
749,2.0,4.0,1,-2.0,run,0.0,-3.2984262,6,0
752,74.0,2.0,0,3.0,run,0.0,-0.10897898,5,0
757,41.0,1.0,0,2.0,run,0.0,-0.5122211,5,0
758,39.0,2.0,0,6.0,run,1.0,0.48142225,5,0
759,33.0,3.0,0,4.0,run,1.0,0.79434854,5,0
761,29.0,2.0,0,2.0,run,0.0,-0.53413826,6,0
765,47.0,1.0,0,2.0,run,0.0,-0.39064306,6,0
766,45.0,2.0,0,7.0,run,1.0,0.64035946,5,0
767,38.0,3.0,0,13.0,run,1.0,1.1005417,6,0
770,58.0,1.0,0,8.0,run,1.0,0.5104319,6,0
771,50.0,2.0,0,4.0,run,1.0,0.17091893,5,0
772,46.0,1.0,0,-3.0,run,0.0,-0.89894766,0,0
776,70.0,2.0,0,3.0,run,0.0,-0.26919842,6,0
786,86.0,1.0,0,5.0,run,1.0,0.09379637,4,0
791,57.0,2.0,0,8.0,run,0.0,-0.31980813,1,0
793,33.0,1.0,0,-3.0,run,0.0,-1.0901582,6,0
794,36.0,2.0,0,3.0,run,1.0,0.024279185,5,0
797,75.0,1.0,0,1.0,run,1.0,0.30783483,5,0
798,69.0,1.0,0,9.0,run,1.0,0.8102434,5,0
799,60.0,2.0,0,2.0,run,0.0,-0.1369939,5,0
804,48.0,2.0,0,8.0,run,1.0,0.37284008,6,0
805,40.0,3.0,0,0.0,run,0.0,-4.9266663,7,0
808,27.0,1.0,0,5.0,run,1.0,0.13417669,6,0
814,99.0,1.0,0,1.0,run,0.0,-0.30294266,6,0
815,98.0,2.0,0,1.0,run,0.0,-0.65650314,6,0
818,88.0,1.0,0,1.0,run,0.0,-0.6063471,7,0
820,80.0,3.0,0,5.0,run,1.0,1.0369469,6,1
822,54.0,1.0,0,1.0,run,0.0,-0.50962186,5,0
835,19.0,1.0,0,6.0,run,1.0,0.31255612,5,0
842,75.0,1.0,0,4.0,run,0.0,-0.1900788,5,0
844,20.0,1.0,0,7.0,run,1.0,0.4680617,5,0
845,13.0,2.0,0,4.0,run,1.0,0.13119353,5,0
847,2.0,2.0,1,2.0,run,1.0,1.1766636,7,0
848,75.0,1.0,0,6.0,run,1.0,0.093777485,6,0
849,69.0,2.0,0,5.0,run,1.0,0.4118063,5,0
850,64.0,1.0,0,1.0,run,0.0,-0.6406812,6,0
851,63.0,2.0,0,1.0,run,0.0,-0.7235874,6,0
856,64.0,1.0,0,9.0,run,1.0,0.47150794,5,0
857,55.0,2.0,0,13.0,run,1.0,0.75961214,6,0
858,42.0,1.0,0,13.0,run,1.0,0.8492337,6,0
859,29.0,1.0,0,14.0,run,1.0,1.079403,5,0
861,60.0,1.0,0,4.0,run,1.0,0.028834628,5,0
865,91.0,1.0,0,2.0,run,0.0,-0.038631145,5,0
879,69.0,1.0,0,0.0,run,0.0,-0.3044598,5,0
880,69.0,2.0,0,10.0,run,1.0,1.0345944,7,1
884,47.0,1.0,0,0.0,run,0.0,-1.0932562,5,0
886,35.0,1.0,0,-2.0,run,0.0,-0.9395565,6,0
888,24.0,1.0,0,8.0,run,1.0,0.6249327,6,0
889,16.0,2.0,0,-3.0,run,0.0,-0.97455406,7,0
897,47.0,3.0,0,-2.0,run,0.0,-1.6704121,7,0
905,35.0,1.0,0,22.0,run,1.0,1.4492315,7,0
906,13.0,1.0,0,-2.0,run,0.0,-0.881624,6,0
911,74.0,2.0,0,5.0,run,0.0,-0.24763146,7,0
914,33.0,1.0,0,3.0,run,0.0,-0.22981092,7,1
916,4.0,1.0,1,1.0,run,0.0,-0.23011903,8,0
918,75.0,1.0,0,2.0,run,0.0,-0.508489,6,0
922,73.0,2.0,0,5.0,run,0.0,-0.45336828,6,0
927,60.0,1.0,0,-10.0,run,0.0,-1.4550141,7,0
931,43.0,1.0,0,1.0,run,0.0,-0.4773169,6,0
932,42.0,2.0,0,1.0,run,0.0,-0.7026455,6,0
934,32.0,1.0,0,4.0,run,0.0,-0.07742618,6,0
942,75.0,2.0,0,5.0,run,0.0,-0.21546365,6,0
945,72.0,1.0,0,-1.0,run,0.0,-0.76806223,6,0
954,44.0,2.0,0,12.0,run,1.0,0.7525153,7,0
956,9.0,1.0,1,6.0,run,1.0,0.5652348,7,0
960,97.0,1.0,0,13.0,run,1.0,0.564733,8,0
964,65.0,2.0,0,1.0,run,0.0,-0.29428297,6,0
967,39.0,2.0,0,0.0,run,0.0,-3.5761256,6,0
981,75.0,2.0,0,11.0,run,1.0,1.476317,6,0
986,80.0,1.0,0,8.0,run,1.0,0.57953614,7,0
987,72.0,2.0,0,7.0,run,1.0,0.3811726,6,0
990,3.0,1.0,1,0.0,run,0.0,-0.42203593,7,0
992,75.0,1.0,0,1.0,run,0.0,-0.5553764,7,0
994,68.0,2.0,0,3.0,run,1.0,0.18129042,7,0
995,65.0,1.0,0,8.0,run,1.0,0.6769883,6,0
999,80.0,1.0,0,1.0,run,0.0,-0.5818593,7,0
1002,68.0,2.0,0,1.0,run,0.0,-0.7641361,7,0
1005,50.0,2.0,0,6.0,run,1.0,1.50477,6,0
1007,39.0,1.0,0,7.0,run,1.0,0.09886704,6,0
1013,66.0,2.0,0,3.0,run,0.0,-0.07996535,7,0
1014,63.0,1.0,0,2.0,run,0.0,-0.49103123,7,0
1016,45.0,1.0,0,2.0,run,0.0,-0.55262506,8,0
1023,11.0,1.0,0,11.0,run,1.0,1.9670215,8,0
1024,78.0,1.0,0,3.0,run,0.0,-0.1327891,6,0
1029,75.0,1.0,0,27.0,run,1.0,1.5802484,6,0
1030,48.0,1.0,0,3.0,run,0.0,-0.20032918,7,0
1039,69.0,2.0,0,5.0,run,1.0,0.20392263,6,0
1043,50.0,1.0,0,11.0,run,1.0,0.65930516,7,0
1044,39.0,1.0,0,7.0,run,1.0,0.54282826,7,0
1045,32.0,2.0,0,6.0,run,1.0,0.4121772,7,0
1046,26.0,1.0,0,2.0,run,0.0,-0.3531411,7,0
1055,74.0,1.0,0,5.0,run,0.0,-0.1439344,8,0
1056,69.0,2.0,0,2.0,run,0.0,-0.26896653,8,0
1060,75.0,1.0,0,9.0,run,1.0,0.841356,6,0
1061,66.0,2.0,0,1.0,run,0.0,-0.26308975,4,0
1062,65.0,1.0,0,7.0,run,1.0,0.45382413,7,0
1063,58.0,2.0,0,18.0,run,1.0,1.37417,7,0
1067,27.0,2.0,0,0.0,run,0.0,-0.63356173,7,0
1071,75.0,1.0,0,-1.0,run,0.0,-1.098116,6,0
1072,76.0,2.0,0,10.0,run,1.0,1.3439412,6,0
1075,86.0,1.0,0,3.0,run,0.0,-0.28415546,6,0
1078,43.0,1.0,0,-3.0,run,0.0,-1.0038338,7,0
1084,75.0,1.0,0,2.0,run,0.0,-0.5003675,6,0
1088,53.0,3.0,0,2.0,run,1.0,0.43976998,7,0
1089,51.0,1.0,0,0.0,run,0.0,-1.3827215,6,0
1092,31.0,2.0,0,8.0,run,1.0,0.95789045,7,0
1093,23.0,1.0,0,21.0,run,1.0,1.6605546,6,0
1094,2.0,1.0,1,2.0,run,1.0,0.6398731,9,0
1095,75.0,1.0,0,1.0,run,0.0,-0.57199204,7,0
1097,57.0,1.0,0,0.0,run,0.0,-0.4721882,8,0
1104,6.0,3.0,0,2.0,run,0.0,-1.2714176,8,0
1110,75.0,1.0,0,5.0,run,0.0,-0.025462307,8,0
1112,65.0,1.0,0,1.0,run,0.0,-0.55298823,6,0
1116,80.0,1.0,0,6.0,run,1.0,0.22967917,6,0
1118,48.0,1.0,0,-5.0,run,0.0,-0.72096485,6,0
1134,74.0,1.0,0,1.0,run,0.0,-0.5202591,7,0
1142,40.0,1.0,0,0.0,run,0.0,-0.57678914,7,0
1147,75.0,2.0,0,5.0,run,0.0,-0.2528187,6,0
1150,66.0,1.0,0,4.0,run,0.0,-0.10620552,7,0
1153,36.0,1.0,0,4.0,run,0.0,-0.009961014,7,1
1154,32.0,2.0,0,18.0,run,1.0,1.5303162,7,0
1164,48.0,2.0,0,16.0,run,1.0,1.4275448,6,0
1165,32.0,1.0,0,0.0,run,0.0,-0.43411523,5,0
1167,25.0,3.0,0,1.0,run,0.0,-1.0618814,6,0
1169,10.0,1.0,1,4.0,run,0.0,-0.02892033,6,0
1174,66.0,1.0,0,11.0,run,1.0,0.750826,8,0
1175,55.0,1.0,0,5.0,run,1.0,0.11191947,6,0
1176,50.0,2.0,0,3.0,run,0.0,-0.20314007,8,0
1178,39.0,1.0,0,19.0,run,1.0,1.1524628,8,0
1180,20.0,2.0,0,-1.0,run,0.0,-0.9608391,7,0
1182,3.0,1.0,1,3.0,run,1.0,0.9187217,6,0
1183,48.0,1.0,0,7.0,run,1.0,0.45042554,5,0
1187,11.0,2.0,0,5.0,run,0.0,-0.28521076,5,0
1190,90.0,1.0,0,0.0,run,0.0,-0.47888023,7,0
1191,90.0,2.0,0,22.0,run,1.0,1.841767,8,0
1192,68.0,1.0,0,2.0,run,0.0,-0.41848043,8,0
1193,66.0,2.0,0,-4.0,run,0.0,-0.8087047,8,0
1194,70.0,3.0,0,-2.0,run,0.0,-1.3821615,6,0
1196,79.0,1.0,0,1.0,run,0.0,-0.23533057,5,0
1198,78.0,3.0,0,14.0,run,1.0,1.2261033,6,1
1199,64.0,1.0,0,5.0,run,0.0,-0.24573658,5,0
1204,75.0,1.0,0,8.0,run,1.0,0.53048235,7,0
1206,66.0,3.0,0,2.0,run,1.0,0.508119,7,0
1207,64.0,1.0,0,2.0,run,0.0,-0.5484505,7,0
1209,53.0,1.0,0,4.0,run,0.0,-0.263606,7,0
1210,49.0,2.0,0,-2.0,run,0.0,-1.1709579,6,0
